DeviceID,DeviceCode
5001,LC K10-01 CO
5002,LC K10-02 CO
5003,LC K10-03 CO
5004,LC K10-04 CO
5005,LC K10-05 CW
5006,LC K10-06 CO
5007,LC K10-07 CW
5008,LC K10-08 CO
5009,LC K10-09 CO
5010,LC K10-10 CO
5011,LC K10-11 CO
5012,LC K10-12 CO
5013,LC K10-13 CO
5014,LC K10-14 CW
5015,LC K10-15 CO
5016,LC K10-16 CW
5017,LC K10-17 CO
5018,LC K10-18 CW
5019,LC K10-19 CO
5020,LC K10-20 CW
5021,LC K10-21 CO
5022,LC K10-22 CW
5023,LC K10-23 CO
5024,LC K10-24 CW
5025,LC K10-25 CO
5026,LC K10-26 CW
5027,LC K10-27 CO
5028,LC K10-28 CW
5029,LC K10-29 CO
5030,LC K10-30 CW
5031,LC K10-31 CO
5032,LC K10-32 CW
5033,LC K10-33 CO
5034,LC K10-34 CW
5035,LC K10-35 CO
5036,LC K10-36 CW
5037,LC K10-37 CO
5038,LC K10-38 CO
5039,LC K10-39 CW
5040,LC K10-40 CO
5041,LC K10-41 CW
5042,LC K10-42 CO
5043,LC K10-43 CW
5044,LC K10-44 CO
5045,LC K10-45 CW
5046,LC K10-46 CO
5047,LC K10-47 CW
5048,LC K10-48 CO
5049,LC K10-49 CW
5050,LC K10-50 CO
5051,LC K10-51 CW
5052,LC K20-01 CO
5053,LC K20-02 CO
5054,LC K20-03 CO
5055,LC K20-04 CO
5056,LC K20-05 CO
5057,LC K20-06 CO
5058,LC K20-07 CO
5059,LC K20-08 CO
5060,LC K20-09 CO
5061,LC K20-10 CO
5062,LC K20-11 CO
5063,LC K20-12 CO
5064,LC K20-13 CO
5065,LC K20-14 CO
5066,LC K20-15 CO
5067,LC K20-16 CO
5068,LC K20-17 CO
5069,LC K20-18 CO
5070,LC K20-19 CO
5071,LC K20-20 CO
5072,LC K20-21 CO
5073,LC K20-22 CO
5074,LC K20-23 CO
5075,LC K20-24 CO
5076,LC K30-01 CO
5077,LC K30-02 CO
5078,LC K30-03 CO
5079,LC K30-04 CO
5080,LC K30-05 CO
5081,LC K30-06 CO
5082,LC K30-07 CO
5083,LC K30-08 CO
5084,LC K30-09 CO
5085,LC K30-10 CO
5086,LC K30-11 CO
5087,LC K30-12 CO
5088,LC K30-13 CO
5089,LC K30-14 CO
5090,LC K30-15 CO
5091,LC K30-16 CO
5092,LC K30-17 CO
5093,LC K30-18 CO
5094,LC K40-01 CO
5095,LC K40-02 CW
5096,LC K40-03 CO
5097,LC K40-04 CW
5098,LC K20-25 CO
5099,LC K40-06 CW
5100,LC K40-07 CO
5101,LC K40-08 CW
5102,LC K40-09 CO
5103,LC K40-10 CW
5104,LC K40-11 CO
5105,LC K40-12 CW
5106,LC K40-13 CO
5107,LC K40-14 CW
5108,LC K50-01 CO
5109,LC K50-02 CO
5110,LC K50-03 CO
5111,LC K50-04 CO
5112,LC K50-05 CO
5113,LC K50-06 CW
5114,LC K50-07 CO
5115,LC K50-08 CO
5116,LC K50-09 CO
5117,LC K50-10 CO
5118,LC K50-11 CO
5119,LC K50-12 CO
5120,LC K50-13 CW
5121,LC K50-14 CO
5122,LC K60-01 CO
5123,LC K60-02 CO
5124,LC K60-03 CO
5125,LC K60-04 CO
5126,LC K60-05 CO
5127,LC K60-06 CO
5128,LC K60-07 CO
5129,LC K70-01 CO
5130,LC K70-02 CO
5131,LC K70-03 CW
5132,LC K70-04 CO
5133,LC K70-05 CO
5134,LC K70-06 CW
5135,LC K70-07 CO
5136,LC K70-08 CW
5137,LC K70-09 CO
5138,LC K70-10 CO
5139,LC K80-01 CO
5140,LC K80-02 CO
5141,LC K80-03 CO
5142,LC K80-04 CO
5143,LC K80-05 CO
5144,LC K80-06 CO
5145,LC K80-07 CO
5146,LC K80-08 CO
5147,LC K80-09 CO
5148,LC K80-10 CW
